"prolif_check","discuss_1","read_1","age","gender","gender_4_TEXT","edu","anything_else","condition","clicked_t","clicked_f"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","55","Female","-99","A levels","if allergy can be a problem for using the vaccine and there are some people who would benefit from not taking it as a result of that, then what are the substances that would cause the allergic reactions?
That part was very glossed over and gave almost no information","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most weeks","40","Female","-99","A levels","I wasn't asked to elaborate my own personal opinion on the subject; only to give 3 reason a person would/wouldn't take a Covid vaccine. They answers I gave are what I hear regularly on both sides and do not give an accurate representation of my true thoughts. ","control","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","31","Male","-99","A levels","None.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","42","Male","-99","Vocational Training / Apprenticeship","Not enough space to write in the 3 reasons why and why not to get your point fully across.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","37","Female","-99","Undergraduate degree (BSc, BA)","i will take part in this survey with a great pleasure","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","47","Female","-99","Undergraduate degree (BSc, BA)","Thanks! I‰Ûªve had the first jab (peer pressure) and I just don‰Ûªt want the second after such an awful experience.  Stuck between a rock and a hard place being an autoimmunie.  Don‰Ûªt want to feel like that again - was very ill - can‰Ûªt afford to take time off to recoup:(. Interesting times...","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","51","Female","-99","A levels","I would have like to have been able to read more of the topics about fear around vaccines, I could only select exact questions I would like to have been fully informed of all.  I am very nervous to have the vaccine and feel coerced by government and society to have it, this make s me angry, as ultimately I feel I will have to have it to be able to work as a massage therapist so therefore I want to glean as much information about the different vaccines before I consent, if I do at all.  The longer term effects which are still unknown are my main concern, along with they are only licensed right now under an emergency license and I believe it isn‰Ûªt fully so until 2023, so therefore doesn‰Ûªt that still mean it‰Ûªs experimental and that the human race is being used as guinea pigs?  In the Uk 99.6% or more if the population have not died.  I cannot see the reaction to these figures as right, other than for the pharmaceutical companies to either make money if fit Bill Gates to push his de-population agenda as people die of various other causes further down the line due to his vaccines from causes that will not be able to be pinned on the vaccines.  Also if he is so bothered about saving humanity why won‰Ûªt he license his vaccines in 3rd world countries, if it isn‰Ûªt about money etc.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","25","Male","-99","A levels","It seems very much like the real purpose of the study is to brow-beat people who don't agree with the effectiveness of the Covid-19 vaccine by overwhelming them with stats, figures & information from various sources. ","control","0","0"
"Against (I feel negatively about the vaccines)","Never","A few times a year","65","Female","-99","Postgraduate degree (MSc, MA, MPhil)","Your blurbs were filled with the same yada yada yada that the government has publicised. The benefits of the vaccine are highest for those who are vulnerable - the elderly, sick and obese - the same groups that are most at risk from covid. The rest of us just want to be left alone.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most weeks","35","Female","-99","Undergraduate degree (BSc, BA)","I am not anti vaccination.  I have concerns about the unusual precident of stating it is safe for pregnant women and unborn children when there are pretty much NO medications that can be considered safe to take whilst pregnant simply because we do not know if it is harmful due to the ethics of testing pregnant women. My sister is a scientist with a backgroung in genetics and she is supportive of taking the vaccine for the greater good but is also of the opinion that the public is being lied to about the pregnancy safety in order to ensure the vaccine is widely adopted. She has taken both doses herself, but also says she does not want biological children herself, but feels women who want to get pregnant are right in avoiding the vaccine at this stage.","control","0","0"
"Against (I feel negatively about the vaccines)","Most months","Rarely","35","Male","-99","GCSEs","Nothing to add","control","0","0"
"Against (I feel negatively about the vaccines)","Most days","Rarely","42","Male","-99","A levels","I enjoyed taking part. Thank you. ","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Once or twice a year","40","Male","-99","Undergraduate degree (BSc, BA)","Nope ","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most days","52","Female","-99","GCSEs,Vocational Training / Apprenticeship","I had one vaccine, felt obligated to do so and everyone I spoke to was having it. I had the Astra Zeneca vaccine, cheap one. Then all the news was on about blood clots and countries blocking the AZ vaccine as it wasn‰Ûªt safe. I then cancelled my 2nd vaccine appointment after that. The vaccine is untested, too many intelligent people are against it, the Government tells lies and too many of them for me to believe a word they say,to the point I will never vote in an election ever again.
 
For such a killer virus going around there has been far too much normality and the vaccine rules and protocol continually change so why should people trust it. 

If it‰Ûªs a killer virus and everyone has to be vaccinated then why are people allowed to fly in and out of the country since we first knew about it. We don‰Ûªt even know if the vaccine stops you being a virus carrier, it‰Ûªs clearly an untested vaccine.

Also since when does the Government care about old people, disabled, sick people but now they are the important ones at the top of the list to be vaccinated.","control","0","0"
"Against (I feel negatively about the vaccines)","Once or twice a year","A few times a year","47","Female","-99","Undergraduate degree (BSc, BA)","great and interesting thanks very informative","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","A few times a year","29","Female","-99","Postgraduate degree (MSc, MA, MPhil)","Many of your articles were very very basic with no evidence and then the study expects to see a change in attitude of the participant after reading them? This is something being put in my body and im going to need an article with much more depth than that. Not only that, the articles contradicted  themselves a number of occasions literally becoming an example of the confusion ordinary people face with information presented by media. E.g Covid 19 is the deadliest infectious disease that has affected the west for DECADES...in the same breath the article says not a lot of info on Covid 19 as it has ONLY EXISTED SINCE 2020 ? Which is it? This is what is called misleading and misinformation. Asking which question are you most interested in is very limited and condescending. Its implying people are refusing vaccine for only ONE main reason which is simply not true. There are a number of reasons why one wouldnt take the vaccine...what about background, religious? In other treatments other than vaccine the article only mentioned social distancing etc? Am I, the participant, more informed than these articles when i say there are medically proven TREATMENTS for Covid 19 being actively used in hospitals? Hydroclo is not the only one but in the article it says has no effect on people with the moderate symptoms...so what of those who have severe symptoms? The article left the reader hanging.  If people want to seriously find out why covid 19 vaccine is not being taken up by some, then a much more seriously thought of study should be done taking such people seriously and not as kids. This seems as rushed as the vaccines themselves.  I would recommend this study to others only to emphasis the reasons why theres confusion on the topic. ","choice","0","1"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","39","Male","-99","Undergraduate degree (BSc, BA)","There was a spelling mistake on the first attention check question","choice","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","55","Female","-99","Postgraduate degree (MSc, MA, MPhil)","information about vaccines seems v biased towards having it hence the distrust
i'm not anti vaccines - i just want to be fully informed and resent being referred to as an 'anti vaxxer' (you haven't! :-))","control","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","35","Female","-99","Postgraduate degree (MSc, MA, MPhil)","Your study suffers a credibility gap - you are plainly not writing neutrally, but writing with the purpose of advocating the covid 19 vaccine. You only criticised arguments against the vaccine. Secondly, you're relying a lot on the trust in institutions that has been shattered for a lot of people. When you make statements like 'Covid-19 is the deadliest disease...' people are aware of the very low death rate and questionable death stats. They think of ebola and realise your use of 'deadliest' is selective.","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","27","Female","-99","A levels","It feels a little more like propaganda than a study. ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","26","Male","-99","GCSEs","Information between responses felt somewhat patronizing","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most days","32","Male","-99","Postgraduate degree (MSc, MA, MPhil)","I wish you all the best with your interesting research. I always considered the UoS to be ethical, forward-thinking, and impartial as my alma mater. I think that psychologists will have interesting insights ","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most days","57","Female","-99","A levels","I'd like to say that these 'treatments' are an unknown quantity as we don't know the long term effects at say 12, 24 or 60 months down the line therefore why would a healthy person risk them","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","28","Female","-99","Undergraduate degree (BSc, BA)","Very biased in the reporting of the vaccine, no counter arguments were given.","control","0","0"
"Against (I feel negatively about the vaccines)","Once or twice a year","A few times a year","20","Male","-99","A levels","Good study, thank you.","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","51","Female","-99","Postgraduate degree (MSc, MA, MPhil)","It was difficult to pick which questions were more important to me. I kinda wish I had picked other options. Interesting information but lacking in proof or verification.","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","A few times a year","39","Female","-99","A levels","You talk about 30 people who got blood clots like it's nothing ","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Rarely","21","Female","-99","GCSEs","I liked the way the study was written and was given a lot of factual information to learn something new from. Thank you.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","22","Male","-99","Undergraduate degree (BSc, BA)","In the first attention check, I was asked to select ""Somewhat disagree"" in which the only applicable answer had a ""typo"". In which, it said ""Somewhat diagree"". Just a heads up!
Also, this study was a lot of fun, thanks!","choice","0","0"
"Against (I feel negatively about the vaccines)","Never","Most months","32","Male","-99","A levels","its a good study, im just still not sold on the whole thing, its not even about the virus for me anymore, im 32 and have have 4 friends commit suicide over the past year.. and my fast network of facebook friends shows the brutal truth that its not just local to me.. im more affected over the fact i seen people who are meant to be wise fight over toilet paper and get sucked into the bullshit of the media, and still think its a good idea boris runs this horrorshow... and the fact it still persists to this day.. we are right back to 9/11.. right back to taking shoes off in some form or another for the next ten years till kessler syndrome finally gets us. im down for it <3","choice","0","0"
"Against (I feel negatively about the vaccines)","Once or twice a year","Once or twice a year","46","Female","-99","A levels","Only time will tell how the history of our country will change and also the long term effects of this vaccination. I think people have been scare mongered into getting this. I don‰Ûªt watch the news anymore, I do not have instagram or Facebook. I do not receive a newspaper either. This has been the best thing. I now make my own decisions. Take away social media, and news. I now feel like my world is getting back to normal. I don‰Ûªt hear or read numbers or spurious information. Look at wildlife, are they scared? No!, do the birds still fly (yes), do they still come and eat the bird food (yes), make nests (yes). Animals are very clever species, probably best to look up once in a while at the bigger world and not listen to mankind!","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most months","26","Female","-99","Undergraduate degree (BSc, BA)","This was really interesting. I love talking about it (without judgement). It‰Ûªs such a relevant and sometimes taboo topic, with social media censoring any negative opinions. I loved this!","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Rarely","48","Male","-99","GCSEs","I believe the whole covid 19 is a scam to  have people vaccinated and the so called virus is being made out to be the 'black death' when you have a survival rate of 99.8% why would you want a unproven vaccine which is a trial.I would rather have covid than the vaccine.","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Once or twice a year","22","Male","-99","A levels","Not sure why some of the questions were repeated. ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","59","Female","-99","Undergraduate degree (BSc, BA)","Please don‰Ûªt automatically believe all the pseudo-science that abounds. Even doing something as simple as reading the study and results data properly - analysing, not believing without applying critical thinking - and the PILs is illuminating.
Also, please look at the newer figures coming through, which alarmingly show Covid deaths are now happening within weeks of vaccination. In Iowa, for example, 100% of their recent Covid deaths had had their jabs around 2 weeks prior. 

There are many examples of such incidents. I can safely predict that all the ongoing and forthcominb Covid deaths will be attributed to another new variant (all coronaviruses continuously mutate) rather than to the immune-response damage caused by these ‰ÛÏvaccines‰Û. 

Look at the study referred to by Kennedy, in which the animal subjects appeared to respond well to their vaccine, but had an exaggerated response when confronted with the virus in the wild, and died.

I can pretty much guarantee that next autumn and winter will see higher than normal deaths because of this. 

Did you know there are concerns over blood donation where the donor has been vaccinated? Have you actually seen any of the information re: fertility being adversely affected by these jabs? 

Given that a) no-one has so far identified the virus, and b) it‰Ûªs a coronavirus (same family as the common cold, so constantly mutating hence no-one has ever found a cure in the preceding 70 years of research, how can they possibly have created an effective and safe vax in 2020? Answer is, they haven‰Ûªt. The Safety & Efficacy Trials don‰Ûªt finish until Jan 2022 for Pfizer, this Oct for Moderna. So, not to put too fine a point on it, anyone who has these jabs is participating in the trials without realising it. ","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most weeks","32","Other","I don't ""identify"". I have no gender identity. I am female.","Undergraduate degree (BSc, BA)","This is clearly biased to get people to take the vaccine. It's insulting that you imply that side effects beyond a month don't count. There are people struggling MONTHS later and you're throwing their pain back in their faces. That's shameful! Also, please stop assuming that the world follows the ""gender identity"" system. It's bigotry to assume that all people have an ""identity"". If males can tick the female box on your survey, the gender results aren't accurate.","choice","0","0"
"Against (I feel negatively about the vaccines)","Never","Never","64","Male","-99","No formal qualifications","very enjoyable thanks for allowing me to take part","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Rarely","27","Female","-99","Vocational Training / Apprenticeship","While I agree we need to fight this virus and studies have shown vaccines are the way to do this. I felt pressured by my work environment (healthcare) to get the first vaccine. I didn't feel I was allowed to wait till I was sure about injecting a new vaccine. I have had the second vaccine now and I strongly believe it has caused my contraceptive pill to fail and I am now pregnant. I am concerned for this pregnancy even more so as I am under 30 and had the astrazeneca vaccine. If I had been given more time (and the vaccine more time) I would be aware of the new ban on this vaccines use for the under 30's.","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","43","Female","-99","Undergraduate degree (BSc, BA)","The information on vaccines hasn't been clear or readily available. Also when your name gets called you literally only have that one chance to accept the appointment. There is no discussion with anyone or someone to talk with if you need further clarification or have concerns. 
Also its all in such a rushed way that you are left with little to no choice. The government keep changing its way on how vaccines are administered, giving longer dates between doses for example and non of this was how it was carried out during the testing phase. Also those that have been given The Oxford vaccine as first dose are being given no other choice and being given it again as the second despite it now not being given to the 40s and under due to clotting. Where does this leave the oxford vaccinated people when it comes to a booster jab as currently there is nothing in place? Also recent statistics show the oxford is much lower efficacy than first stated. Its not made clear how ill it can make you and my side effects were very strong on first dose. I was really ill. I wasn't prepared for these syptoms and they definately were not as described on the day of vaccine. People need to be clearly informed so they can make the right choices or be prepared at the very least. It's difficult to trust anything your being told by government as they themselves keep changing things and not shown to be clear, concise and transparent with decision making during this pandemic. ","control","0","1"
"Against (I feel negatively about the vaccines)","Most months","A few times a year","40","Female","-99","Undergraduate degree (BSc, BA)","I found this very interesting and useful to support my current knowledge.","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Never","30","Female","-99","Undergraduate degree (BSc, BA)","Thanks for the information enjoyed reading this. ","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Never","56","Female","-99","Vocational Training / Apprenticeship","Why is there not a better wY to help cancer patients. They are not doing enough. ","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most weeks","51","Female","-99","A levels","Interesting ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","38","Female","-99","Undergraduate degree (BSc, BA)","I would like to know why you are trying to persuade people to think it's a good thing to have the vaccine when you were very careful about the facts you used.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most months","30","Male","-99","Undergraduate degree (BSc, BA)","No problem with the study. I think some answers may be a bit more nuanced. Although I don't feel the need to take the vaccine. I can understand why someone who is older, or more vulnerable may need to take it.","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most weeks","63","Female","-99","Postgraduate degree (MSc, MA, MPhil)","I believe using experimental 'vaccines' using mRNA gene editing on the whole population is unethical when the survival rate from Covid is 99.9% and the long term effects are not yet known. Vaccine passports are against all Civil Liberties and vaccination should not be either mandatory or coerced. I don't believe most people are giving informed consent.","control","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most weeks","22","Male","-99","A levels","It feels like you want me to agree to the vaccine with the information all being for covid ","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most months","23","Female","-99","GCSEs,Vocational Training / Apprenticeship,A levels","It was good but a little bit too lengthy. There was too much text to read through, even though it was interesting it looked boring.","control","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most weeks","56","Female","-99","Undergraduate degree (BSc, BA)","The info blurbs really need to include more specific information, trial data etc. It was really tedious to read blanket statements when I would appreciate specific data to draw my own conclusions. The lack of this is part of my problem with covid 19 vaccination. Also the qustion about 'do you have a problem with caccination in general?' I had to say 'yes I do' because I have a problem with the vaccine schedule for babies in the developed world. I support vaccination in general.","choice","0","0"
"Against (I feel negatively about the vaccines)","Most months","Most weeks","59","Male","-99","A levels","Yes. DO not under any circumstances, take the jab, or trust big pharma, ever.","control","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most weeks","29","Female","-99","A levels","This study could not have come at a better time, I have been invited in for my vaccine but have been on the fence as to whether or not to get it. I was concerned about the speed in which the vaccine came about when the virus has continued to mutate & didn't feel that we knew enough about it. Social media has definitely impacted me in making me anxious/worried about the possible long term side effects as there are a lot of people against this vaccine. I am fully vaccinated (childhood vaccines) so I'm not an anti vaxxer but a generally cautious person.","choice","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Never","37","Female","-99","Vocational Training / Apprenticeship","Great study because i haven't tried to read up on anything to do with covid so very informative.","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Once or twice a year","30","Female","-99","A levels","The information was very one sided, however I understand that the purpose was to offer the science behind vaccinations in general and not to persuade the reader either way.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most weeks","38","Female","-99","Undergraduate degree (BSc, BA)","Thoroughly enjoyed this questionnaire even if it is a little biased to pro vaccination. We shouldn't poo-poo differing opinions, or set out to prove them wrong,  but rather seek to understand why and answer objectively.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Never","Never","28","Male","-99","Undergraduate degree (BSc, BA)","na/ thank you","control","0","0"
"Neutral (I don't have strong opinions either way)","Most months","Most weeks","59","Male","-99","Vocational Training / Apprenticeship","Most inforrmative","control","0","0"
"Against (I feel negatively about the vaccines)","Rarely","Most weeks","21","Female","-99","A levels","Hopefully the results are taken into consideration by the relevant parties","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most days","36","Female","-99","Undergraduate degree (BSc, BA),Postgraduate degree (MSc, MA, MPhil)","Thank you - very informative and interesting!","choice","0","0"
"Neutral (I don't have strong opinions either way)","Once or twice a year","Most weeks","41","Female","-99","Undergraduate degree (BSc, BA)","I found the information quite scientific. I have a Biology degree so could relate to it well but wonder if it may be too heavy for someone without a science background.","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most days","28","Female","-99","GCSEs","The information has been very helpful, thank you","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most months","56","Female","-99","Vocational Training / Apprenticeship","I have very mixed views and also am very concerned. My son is 20 and as he has a health condition he was offered the first vaccine quite early. This was the Astro Zenica. Then we here that this should not be used for under 30 then under 40 but that he should not mix vaccines . This has added to serious concerns. So what are we suppose to do. In addition he collapsed twice after his first dose.  ","choice","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Most days","26","Female","-99","Undergraduate degree (BSc, BA)","Very good and engaging survey. Felt very current and relevant ","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most months","30","Female","-99","Undergraduate degree (BSc, BA)","Was really Helpful information ","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","A few times a year","30","Female","-99","GCSEs","I found the information you provided interesting & it has helped me understand the vaccine. ","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Most weeks","41","Female","-99","Vocational Training / Apprenticeship","This has been such a strange scary time for the world - nobody has been untouched by this pandemic and I think along with many negative impacts, there have been many positives amongst mankind.","control","0","0"
"Against (I feel negatively about the vaccines)","Most days","Most days","37","Male","-99","Vocational Training / Apprenticeship","I was really surprise about the information given here, it somehow made me feel like the Vaccine is not as bad as people think, considering all the latest technology are in place and the number of voluteers who took trial.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Most weeks","46","Female","-99","Undergraduate degree (BSc, BA)","Interesting!","control","0","0"
"Neutral (I don't have strong opinions either way)","Rarely","Rarely","44","Female","-99","Vocational Training / Apprenticeship","Interesting and knowledgeable I enjoyed it","choice","0","0"
"Neutral (I don't have strong opinions either way)","Once or twice a year","Most months","20","Female","-99","A levels","I appreciate the knowledge, but it would be better to have more balanced info. ","choice","0","0"
"Neutral (I don't have strong opinions either way)","Most months","A few times a year","23","Male","-99","Undergraduate degree (BSc, BA)","Accidentally closed window first time around.","control","0","0"
"Neutral (I don't have strong opinions either way)","Most weeks","Never","38","Female","-99","Undergraduate degree (BSc, BA)","Enjoyed the information provided and structure of this was easy","control","0","0"
"Against (I feel negatively about the vaccines)","Most weeks","Never","27","Male","-99","A levels","Interesting study ","choice","0","0"
