"StartDate","CONSENT","prolif_check","vax_att_1","vax_att_2","vax_att_3","vax_att_4","vax_att_5","att_check_1","vax_yet","vax_futureY","vax_futureN","Q1","Q2","Q3","Q4","post_vax_att_1","post_vax_att_2","post_vax_att_3","post_vax_att_4","post_vax_att_5","att_check_2","vax_future_2","experience_1","experience_2","experience_3","experience_4","information_1","information_2","information_3","information_4","ITT_1_A","ITT_2_A","ITT_3_A","ITT_1_F","ITT_2_F","ITT_3_F","discuss_1","read_1","age","gender","gender_4_TEXT","edu","take_part_again","anything_else","friend","condition","clicked_t","clicked_f","ID","vax_yet_1","vax_future","vax_future_1","vax_change","vax_positive","choice_cond"
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Somewhat Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly disagree","No","","No","Are the vaccines safe?","Can we trust vaccines from all countries?","Will the vaccine be effective long term, or can immunity go away?","Is herd immunity possible without vaccination?","Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Bill Gates has put microchips in it (lol)","It will cause infertility","It has been rushed out","They need to protect other family members that are ill","They don't want to get covid-19","The government has told them to get it","Once or twice a year","A few times a year","46","Female","-99","No formal qualifications","Very likely","-99","Yes","choice","0","0",19,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat disagree","No","","Undecided","Are the vaccines safe?","Could the virus mutate, reducing the effectiveness of the vaccine?","Is the pharmaceutical industry getting richer because of these vaccines?","Is herd immunity possible without vaccination?","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Agree","Somewhat agree",0,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","They think it could be unsafe in the long term, because the long term effects have not been tested.","They think they don't need it, because they have blood group O and they have read that people with this blood group are far less likely to get infected or have complications if they do get infected.","They are young (30-40) so by the time older people have all been vaccinated, there will be less chance of getting infected or spreading the virus because over half the population has been vaccinated.","Its my obligation to get the vaccine because that way I can help stop the spread of the virus.","Studies have shown that the vaccines are just as safe as any other vaccine or medication, its worth any risks that exist.","I want to be able to live a normal life again, not have to wear a facemask and be able to move around freely","Once or twice a year","A few times a year","42","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","choice","0","0",20,0,"Undecided ",0,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Disagree","Disagree","Strongly Disagree","Somewhat Disagree","Somewhat disagree","No","","No","","","","","Neither Agree nor Disagree","Somewhat Disagree","Disagree","Strongly Disagree","Somewhat Disagree","Somewhat agree",-1,"Somewhat Agree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Agree","Somewhat Disagree","Disagree","Somewhat Disagree","They have not had enough time to develop it","They have not had sufficient time to test side effects and long term damage","I don't trust the government or big pharma","It's the only way to be safe","Everyone has a responsibility","It's better than getting the virus","Most weeks","Most weeks","44","Male","-99","GCSEs","Somewhat likely","-99","Yes","control","0","0",21,0,"No ",-1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat disagree","Yes","Yes","","","","","","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat agree",1,"Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","There hasnâ€™t been enough testing before giving out the vaccine ","We donâ€™t know what the potential long term side effects are ","It was produced too quickly ","It could possibly make life return to normal quicker ","Could mean that holidays are possible ","Wonâ€™t need to wear masks out anymore ","Rarely","Most weeks","30","Female","-99","GCSEs","Very likely","-99","Yes","control","0","0",22,1," Yes",1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","There was not enough time to develop these vaccines and test them. The long term side effects of a brand new technology will show years later.","14% of people got sick and that is why 75% needs to get the vaccine? Why some people do not get sick? Feels like no one checked that.","There are so many different vaccines to chose from, all has some issues. Instead of them, the scientist could just develop 1 perfect one.","Because it protects against the virus...","Because it protects others from the virus.","They just want to get it, because they want to be free and move around and go to places. ","Most days","Most days","37","Female","-99","Undergraduate degree (BSc, BA)","Very likely","It was very interesting and informative. It was great to see some facts the media not spreading.","Yes","control","0","1",23,0,"No ",-1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly disagree","No","","No","","","","","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Somewhat agree",-1,"Neither Agree nor Disagree","Somewhat Disagree","Agree","Agree","Somewhat Agree","Disagree","Somewhat Agree","Strongly Agree","It is being enforced and no other vaccine is enforced..why? ","Where has the flu gone? ","Statistics on deaths don't add up ","They need to get it because they won't be able to travel etc ","It'd the new law that they have to have it ","They are scared of the media and what will happen if they don't get it ","Most weeks","Most weeks","30","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0",24,0,"No ",-1,0,0,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Disagree","Somewhat Disagree","Strongly disagree","No","","No","Can we trust who made the vaccine?","Is Covid-19 dangerous for someone young like me?","Are there serious side effects to the vaccine?","Is herd immunity possible without vaccination?","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Somewhat agree",-1,"Strongly Agree","Agree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Serious side effects","cant trust who produces the vaccines","dont require it as young and fit","scared of being infected","can trust the authorities who provide the vaccines","to protect family/friends","Most weeks","Most weeks","24","Male","-99","A levels","Very likely","good survey. interesting and important topic","Yes","choice","0","0",25,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","No","Are the vaccines safe?","Do we know enough about Covid-19 to develop a vaccine?","Is the pharmaceutical industry getting richer because of these vaccines?","What is a messenger RNA vaccine?","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Disagree","Disagree","Neither Agree nor Disagree","Somewhat agree",-1,"Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree","The vaccine is still in the experimental stage","I have been told I shouldn't have it.","I know more people who are suffering side effects from the vaccine than those who've had covid and those that have had covid with underlying issues are still alive and kicking.","Everyone else is having it so I'm having it.","I'm doing it to protect others.","I trust the Government, Nhs and the mainstream media.","Most months","Most days","61","Female","-99","Vocational Training / Apprenticeship","Very likely","When I answered for people wanting the vaccine, I actually put things that people have said to me.  I follow the information on gov.uk, statistics and studies and I form my own opinion.  I do not want the vaccine as I have undiagnosed issues and don't know whether it would be safe to have.  ","Yes","choice","0","0",26,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Disagree","Somewhat disagree","No","","No","Can we trust who made the vaccine?","Do we know enough about Covid-19 to develop a vaccine?","Is the pharmaceutical industry getting richer because of these vaccines?","How is the Covid-19 vaccine different to other vaccines?","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Strongly Disagree","Disagree","Agree","Agree","Somewhat Disagree","Disagree","They are young and at very low risk of hospitalisation or severe infection from covid-19","There is not enough long term effects of vaccines known","It is still in a clinical trial phase with final results not due from initial participants in trials until 2023","To protect themselves","They have been told to/persuaded by government and nhs etc and the continuous mention of vaccines ","They can not be bothered to do any research into vaccines, their safety, efficacy etc and will have it anyway","A few times a year","Most weeks","32","Female","-99","Undergraduate degree (BSc, BA)","Somewhat likely","-99","Yes","choice","0","0",27,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","","","","","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat agree",0,"Agree","Agree","Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Disagree","Disagree","not enough reserach carried out","too many side effects","simply because it goes against their ethics","so they can go back to work","Keep safe and others around them safe","would contribute o further reserach","A few times a year","Once or twice a year","26","Female","-99","Postgraduate degree (MSc, MA, MPhil)","Very likely","-99","Yes","control","0","0",28,0,"No ",-1,1,1,0
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No","Do I really need a vaccine?","Is Covid-19 dangerous for someone young like me?","Are there serious side effects to the vaccine?","Is herd immunity possible without vaccination?","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Agree","Strongly Disagree","Strongly Disagree","Neither Agree nor Disagree","Infertility and other side effects like that ","Not long enough to test","Why a vaccine for something I would get over","Things will go back to normal","The government endorse it so it must be okay","I have to have it for my job","Most weeks","Most weeks","28","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","choice","0","0",29,0,"No ",-1,0,0,1
"17/05/2021","YES","Against (I feel negatively about the vaccines)","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat disagree","No","","No","","","","","Somewhat Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat agree",-1,"Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Disagree","Somewhat Agree","Not tested long enough","Unknown side effects","Known side effects of vaccine","Protect against covid","Ease social distancing","Because it is expected ","Most days","Most months","37","Female","-99","Postgraduate degree (MSc, MA, MPhil)","Very likely","-99","Yes","control","0","0",30,0,"No ",-1,0,0,0
