"StartDate","EndDate","Duration","timing_info_consent_Page.Submit","CONSENT","prolif_check","vax_att_1","vax_att_2","vax_att_3","vax_att_4","vax_att_5","att_check_1","vax_yet","vax_futureY","vax_futureN","timing_cntrl1_Page.Submit.3","timer_cntrl2_Page.Submit.3","timer_cntrl3_Page.Submit.3","timing_control4_Page.Submit.3","Q1","timing_choice1_Page.Submit","Q2","timing_choice2_Page.Submit","Q3","timing_choice3_Page.Submit","Q4","timing_choice4_Page.Submit","post_vax_att_1","post_vax_att_2","post_vax_att_3","post_vax_att_4","post_vax_att_5","att_check_2","vax_future_2","experience_1","experience_2","experience_3","experience_4","information_1","information_2","information_3","information_4","ITT_1_A","ITT_2_A","ITT_3_A","timing_ITT_A_Page.Submit","ITT_1_F","ITT_2_F","ITT_3_F","timing_ITT_F_Page.Submit","discuss_1","read_1","age","gender","gender_4_TEXT","edu","take_part_again","anything_else","friend","condition","clicked_t","clicked_f","FL_3_DO","Block1_Cntrl_DO","Block2_Cntrl_DO","Block3_Cntrl_DO","Block4_Cntrl_DO","ID","vax_yet_1","vax_future","vax_future_1","vax_change","vax_positive","choice_cond","control_info_time","choice_info_time"
"17/05/2021 10:04","17/05/2021 10:11",374,12.295,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",33.257,31.649,12.535,20.468,"",NA,"",NA,"",NA,"",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Disagree","Disagree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Disagree","Somewhat Agree","They are too young so not needed","The virus is not as deadly as the media portray","The advice from government is false",79.992,"They are scared of the virus","They are affected more as they are old","They are just doing what their government tells them",32.333,"Rarely","Most weeks","41","Male","-99","GCSEs,Vocational Training / Apprenticeship,A levels","Very likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|5.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|3.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|3.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|2.4cntrl",11,0,"No ",-1,0,0,0,97.909,NA
"17/05/2021 10:07","17/05/2021 10:12",281,3.47,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",NA,NA,NA,NA,"Are the vaccines safe?",8.738,"Is Covid-19 dangerous for someone young like me?",5.155,"Are there serious side effects to the vaccine?",9.15,"Wouldn't it be better to invest in treatments for Covid-19 rather than vaccines?",2.662,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Somewhat Agree","Disagree","Strongly Agree","Not enough time to show long term side effects.","Im not at risk of dying so why do i need it?","Do not trust the government in the slightest.",86.46,"Think about others and not just yourself.","Your protecting others as well as yourself","We will never get back to normal if you dont.",37.39,"Most days","Never","29","Female","-99","A levels","Very likely","-99","Yes","choice","0","0","FL_14","","","","",12,0,"No ",-1,0,0,1,NA,25.705
"17/05/2021 10:07","17/05/2021 10:12",308,8.853,"YES","Against (I feel negatively about the vaccines)","Disagree","Neither Agree nor Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",20.997,31.488,2.711,1.995,"",NA,"",NA,"",NA,"",NA,"Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Disagree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Neither Agree nor Disagree","There hasn't been enough time spent on trials.","People in power are pushing the vaccine for nefarious reasons.","Vaccines in themselves are dangerous.",62.931,"They want to get back to normal and the vaccine is the way to do that.","So they can see loved ones again.","They trust the people pushing the vaccine.",82.754,"Most weeks","Most months","29","Male","-99","GCSEs","Very likely","-99","No","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|3.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|1.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|2.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|3.4cntrl",13,0,"No ",-1,0,0,0,57.191,NA
"17/05/2021 10:08","17/05/2021 10:16",473,8.208,"YES","Against (I feel negatively about the vaccines)","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Somewhat disagree","No","","No",NA,NA,NA,NA,"Do I really need a vaccine?",4.709,"Do we know enough about Covid-19 to develop a vaccine?",2.458,"Are there serious side effects to the vaccine?",3.859,"Is herd immunity possible without vaccination?",2.73,"Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Somewhat agree",-1,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Agree","Somewhat Disagree","Disagree","Somewhat Disagree","Unsafe, could cause illness ","Not tested long enough","Is it even really necessary",148.331,"Keep them safe from the virus","Other people are doing it","Forced to take the jab",72.72,"Most weeks","Most weeks","36","Male","-99","GCSEs","Very likely","-99","Yes","choice","0","0","FL_14","","","","",14,0,"No ",-1,0,0,1,NA,13.756
"17/05/2021 10:08","17/05/2021 10:16",485,41.187,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",NA,NA,NA,NA,"Are the vaccines safe?",24.779,"Do we know enough about Covid-19 to develop a vaccine?",19.164,"Are there serious side effects to the vaccine?",32.685,"Is herd immunity possible without vaccination?",15.474,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Disagree","Disagree","They are scared of adverse reactions","They have allergies to food and drugs and may have bad reactions to the vaccine","the vaccine has not been monitored long enough",68.792,"They want to protect themselves and others","they want to travel and visit venues","even if they had adverse reactions they think it far outweighs the symptoms of covid",52.245,"Most weeks","Most days","57","Female","-99","GCSEs","Very likely","-99","Yes","choice","0","0","FL_14","","","","",15,0,"No ",-1,0,0,1,NA,92.102
"17/05/2021 10:13","17/05/2021 10:18",296,4.218,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat disagree","No","","No",7.406,2.014,2.692,2.272,"",NA,"",NA,"",NA,"",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Somewhat Agree","Somewhat Disagree","Disagree","Neither Agree nor Disagree","Somewhat Agree","Neither Agree nor Disagree","Disagree","Disagree","These vaccines are still in a clinical trial until 2023, with no liability if anything should happen to me","There is not enough clear information as to the ingredients in the vaccine or possible side-effects, risks associated","Mainstream media are not reporting any cases of adverse effects and things seem to be one-sided",141.383,"I want things to get back to normal ","I want to go on holiday ","The news and government say it's safe and effective ",28.388,"Most days","Most days","31","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|3.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|3.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|5.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|4.4cntrl",16,0,"No ",-1,0,0,0,14.384,NA
"17/05/2021 10:11","17/05/2021 10:18",432,3.341,"YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neither Agree nor Disagree","Somewhat disagree","Yes","Undecided","",NA,NA,NA,NA,"Are the vaccines safe?",36.852,"Do we know enough about Covid-19 to develop a vaccine?",35.718,"Will the vaccine be effective long term, or can immunity go away?",18.255,"How is the Covid-19 vaccine different to other vaccines?",14.513,"Somewhat Agree","Somewhat Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Agree","Somewhat agree",1,"Strongly Agree","Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Disagree","Strongly Disagree","Not enough research has been done on them","They were rushed which means they are not safe","Bad side effects that could be long term",91.196,"Provides protection against covid","Could protect others from catching covid","Prevents the spread of covid19",61.585,"Most weeks","Most days","43","Female","-99","GCSEs","Very likely","-99","Yes","choice","0","0","FL_14","","","","",17,1," Undecided",0,1,1,1,NA,105.338
"17/05/2021 10:09","17/05/2021 10:19",603,8.329,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Neither Agree nor Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat disagree","No","","Undecided",NA,NA,NA,NA,"Do I really need a vaccine?",38.049,"Is Covid-19 dangerous for someone young like me?",29.401,"Are there serious side effects to the vaccine?",33.525,"How is the Covid-19 vaccine different to other vaccines?",31.601,"Strongly Disagree","Somewhat Disagree","Strongly Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Somewhat agree",0,"Agree","Somewhat Agree","Somewhat Disagree","Disagree","Agree","Neither Agree nor Disagree","Somewhat Disagree","Neither Agree nor Disagree","Do not have it because itäó»s just another vaccine that is they want to trap you in.","The 1st dose side effects is not good. You will feel sick and not yourself ","Itäó»s a chip they planting in you ",176.683,"You can go on holiday ","You are protected in case your around someone who has COVID ","Youäó»ll help the country ",67.26,"Most months","Most months","32","Female","-99","A levels","Very likely","-99","Yes","choice","0","0","FL_14","","","","",18,0,"Undecided ",0,0,0,1,NA,132.576
"17/05/2021 10:11","17/05/2021 10:19",483,14.583,"YES","Against (I feel negatively about the vaccines)","Strongly Disagree","Somewhat Agree","Disagree","Strongly Disagree","Strongly Disagree","Strongly disagree","No","","No",NA,NA,NA,NA,"Are the vaccines safe?",26.235,"Can we trust vaccines from all countries?",41.528,"Will the vaccine be effective long term, or can immunity go away?",25.319,"Is herd immunity possible without vaccination?",8.458,"Strongly Disagree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat agree",-1,"Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree","Bill Gates has put microchips in it (lol)","It will cause infertility","It has been rushed out",82.935,"They need to protect other family members that are ill","They don't want to get covid-19","The government has told them to get it",49.91,"Once or twice a year","A few times a year","46","Female","-99","No formal qualifications","Very likely","-99","Yes","choice","0","0","FL_14","","","","",19,0,"No ",-1,0,0,1,NA,101.54
"17/05/2021 10:04","17/05/2021 10:20",957,16.73,"YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree","Somewhat Agree","Somewhat disagree","No","","Undecided",NA,NA,NA,NA,"Are the vaccines safe?",96.947,"Could the virus mutate, reducing the effectiveness of the vaccine?",72.977,"Is the pharmaceutical industry getting richer because of these vaccines?",71.181,"Is herd immunity possible without vaccination?",61.833,"Neither Agree nor Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Agree","Somewhat agree",0,"Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neither Agree nor Disagree","They think it could be unsafe in the long term, because the long term effects have not been tested.","They think they don't need it, because they have blood group O and they have read that people with this blood group are far less likely to get infected or have complications if they do get infected.","They are young (30-40) so by the time older people have all been vaccinated, there will be less chance of getting infected or spreading the virus because over half the population has been vaccinated.",226.4,"Its my obligation to get the vaccine because that way I can help stop the spread of the virus.","Studies have shown that the vaccines are just as safe as any other vaccine or medication, its worth any risks that exist.","I want to be able to live a normal life again, not have to wear a facemask and be able to move around freely",131.491,"Once or twice a year","A few times a year","42","Female","-99","Undergraduate degree (BSc, BA)","Very likely","-99","Yes","choice","0","0","FL_14","","","","",20,0,"Undecided ",0,0,0,1,NA,302.938
"17/05/2021 10:09","17/05/2021 10:20",652,50.048,"YES","Against (I feel negatively about the vaccines)","Neither Agree nor Disagree","Somewhat Disagree","Disagree","Strongly Disagree","Somewhat Disagree","Somewhat disagree","No","","No",99.178,79.081,36.306,49.757,"",NA,"",NA,"",NA,"",NA,"Neither Agree nor Disagree","Somewhat Disagree","Disagree","Strongly Disagree","Somewhat Disagree","Somewhat agree",-1,"Somewhat Agree","Neither Agree nor Disagree","Strongly Disagree","Disagree","Agree","Somewhat Disagree","Disagree","Somewhat Disagree","They have not had enough time to develop it","They have not had sufficient time to test side effects and long term damage","I don't trust the government or big pharma",65.901,"It's the only way to be safe","Everyone has a responsibility","It's better than getting the virus",37.804,"Most weeks","Most weeks","44","Male","-99","GCSEs","Somewhat likely","-99","Yes","control","0","0","FL_13","timing_control_1|timing_cntrl1|timing_cntrl1|timing_cntrl1|timing_cntrl1|5.1cntrl","timing_control2|timer_cntrl2|timer_cntrl2|timer_cntrl2|timer_cntrl2|5.2cntrl","timing_control3|timer_cntrl3|timer_cntrl3|timer_cntrl3|timer_cntrl3|4.3cntrl","timing_control4|timing_control4|timing_control4|timing_control4|timing_control4|2.4cntrl",21,0,"No ",-1,0,0,0,264.322,NA
